I0418 19:28:27.581773       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.15 0 8.8.4.4 0 1] conn.IsDying=false
I0418 19:28:27.581780       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.11 43288 10.10.0.2 5201 6] conn.IsDying=false
I0418 19:28:27.581790       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.5 57224 192.168.77.100 6443 6] conn.IsDying=false
I0418 19:28:27.581796       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.2 48252 192.168.77.100 6443 6] conn.IsDying=false
I0418 19:28:27.581802       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.16 0 8.8.8.8 0 1] conn.IsDying=false
I0418 19:28:28.560597       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.11 DestinationAddress:10.10.0.2 Protocol:6 SourcePort:43290 DestinationPort:5201}
I0418 19:28:28.560635       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.5 DestinationAddress:192.168.77.100 Protocol:6 SourcePort:43552 DestinationPort:6443}
I0418 19:28:28.560645       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.12 DestinationAddress:10.10.0.4 Protocol:6 SourcePort:45684 DestinationPort:5201}
I0418 19:28:28.560653       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.33 DestinationAddress:192.168.77.100 Protocol:6 SourcePort:59086 DestinationPort:6443}
I0418 19:28:28.560661       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.13 DestinationAddress:8.8.8.8 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560669       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.2 DestinationAddress:192.168.77.100 Protocol:6 SourcePort:48252 DestinationPort:6443}
I0418 19:28:28.560677       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.8 DestinationAddress:10.10.0.3 Protocol:6 SourcePort:34346 DestinationPort:5201}
I0418 19:28:28.560685       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.14 DestinationAddress:8.8.8.8 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560693       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.18 DestinationAddress:1.1.1.1 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560705       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.3 DestinationAddress:192.168.77.100 Protocol:6 SourcePort:56978 DestinationPort:6443}
I0418 19:28:28.560712       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.5 DestinationAddress:192.168.77.100 Protocol:6 SourcePort:57224 DestinationPort:6443}
I0418 19:28:28.560720       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.8 DestinationAddress:10.10.0.3 Protocol:6 SourcePort:34344 DestinationPort:5201}
I0418 19:28:28.560727       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.12 DestinationAddress:10.10.0.4 Protocol:6 SourcePort:45686 DestinationPort:5201}
I0418 19:28:28.560734       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.15 DestinationAddress:8.8.4.4 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560773       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.16 DestinationAddress:8.8.8.8 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560781       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.0.1 DestinationAddress:10.10.1.33 Protocol:6 SourcePort:38641 DestinationPort:4739}
I0418 19:28:28.560793       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.33 DestinationAddress:10.10.1.31 Protocol:6 SourcePort:52954 DestinationPort:4739}
I0418 19:28:28.560801       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.17 DestinationAddress:8.8.4.4 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560809       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.19 DestinationAddress:1.1.1.1 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560816       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.11 DestinationAddress:10.10.0.2 Protocol:6 SourcePort:43288 DestinationPort:5201}
I0418 19:28:28.560832       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.20 DestinationAddress:8.8.4.4 Protocol:1 SourcePort:0 DestinationPort:0}
I0418 19:28:28.560840       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.9 DestinationAddress:10.10.1.10 Protocol:6 SourcePort:38954 DestinationPort:5201}
I0418 19:28:28.560847       1 conntrack_connections.go:115] "Logging... mark conn IsPresent = false" conn={SourceAddress:10.10.1.9 DestinationAddress:10.10.1.10 Protocol:6 SourcePort:38956 DestinationPort:5201}
I0418 19:28:28.564268       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.5 43552 192.168.77.100 6443 6] conn.IsDying=false
I0418 19:28:28.564538       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.20 0 8.8.4.4 0 1] conn.IsDying=false
I0418 19:28:28.564674       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.8 34346 10.10.0.3 5201 6] conn.IsDying=false
I0418 19:28:28.564747       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.33 52954 10.10.1.31 4739 6] conn.IsDying=false
I0418 19:28:28.564823       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.9 38956 10.10.1.10 5201 6] conn.IsDying=false
I0418 19:28:28.564896       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.14 0 8.8.8.8 0 1] conn.IsDying=false
I0418 19:28:28.564971       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.9 38954 10.10.1.10 5201 6] conn.IsDying=false
I0418 19:28:28.565043       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.11 43290 10.10.0.2 5201 6] conn.IsDying=false
I0418 19:28:28.565133       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.0.1 38641 10.10.1.33 4739 6] conn.IsDying=false
I0418 19:28:28.565209       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.17 0 8.8.4.4 0 1] conn.IsDying=false
I0418 19:28:28.565284       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.12 45684 10.10.0.4 5201 6] conn.IsDying=false
I0418 19:28:28.565539       1 conntrack_connections.go:214] "Logging... addOrUpdateConn" conn=[10.10.1.18 0 1.1.1.1 0 1] conn.IsDying=false
